title,price,location,bedrooms,bathrooms,surface_total,surface_useful,url,description
Edificio Praga,15990.0,"Agustín Del Castillo 2455, Vitacura, Parque Bicentenario, Vitacura",3.0,3.5,,124.5,https://portalinmobiliario.com/MLC-2842293288-edificio-praga-_JM#polycard_client=search-nordic&search_layout=grid&position=1&type=item&tracking_id=24f4cbc3-c8ae-4ae8-ab79-c53202f478c6,
Kennedy Norte,9630.0,"Benito Juárez 1011, Vitacura, Nuestra Señora Del Rosario, Vitacura",2.5,2.5,,95.0,https://portalinmobiliario.com/MLC-2867165130-kennedy-norte-_JM#polycard_client=search-nordic&search_layout=grid&position=2&type=item&tracking_id=24f4cbc3-c8ae-4ae8-ab79-c53202f478c6,
Edificio Puerto Camoens,13906.0,"Camoens 6580, Nuestra Señora Del Rosario, Vitacura",2.5,2.5,,117.5,https://portalinmobiliario.com/MLC-2851350052-edificio-puerto-camoens-_JM#polycard_client=search-nordic&search_layout=grid&position=3&type=item&tracking_id=24f4cbc3-c8ae-4ae8-ab79-c53202f478c6,
Candelaria 4500,11900.0,"Candelaria Goyenechea 4500, Jardín Del Este, Vitacura",3.0,3.0,,110.5,https://portalinmobiliario.com/MLC-1568362894-candelaria-4500-_JM#polycard_client=search-nordic&search_layout=grid&position=4&type=item&tracking_id=24f4cbc3-c8ae-4ae8-ab79-c53202f478c6,
Siena Miguel Comas,16990.0,"Miguel Comas 1800, Juan XXIII, Vitacura",3.0,3.5,,138.0,https://portalinmobiliario.com/MLC-1711011695-siena-miguel-comas-_JM#polycard_client=search-nordic&search_layout=grid&position=5&type=item&tracking_id=24f4cbc3-c8ae-4ae8-ab79-c53202f478c6,
Edificio Puerto De Aguirre,18940.0,"Francisco De Aguirre 3871, Parque Bicentenario, Vitacura",2.5,3.0,,123.5,https://portalinmobiliario.com/MLC-2851389228-edificio-puerto-de-aguirre-_JM#polycard_client=search-nordic&search_layout=grid&position=6&type=item&tracking_id=24f4cbc3-c8ae-4ae8-ab79-c53202f478c6,
Edificio Nueva Vitacura,5311.0,"Av. Costanera Sur 12251, Vitacura, Tabancura, Vitacura",2.0,2.0,,86.5,https://portalinmobiliario.com/MLC-1674731609-edificio-nueva-vitacura-_JM#polycard_client=search-nordic&search_layout=grid&position=7&type=item&tracking_id=24f4cbc3-c8ae-4ae8-ab79-c53202f478c6,
Neohaus Vitacura,5600.0,"Av. Las Condes 12170, Tabancura, Vitacura",1.5,1.5,,61.5,https://portalinmobiliario.com/MLC-2843288422-neohaus-vitacura-_JM#polycard_client=search-nordic&search_layout=grid&position=8&type=item&tracking_id=24f4cbc3-c8ae-4ae8-ab79-c53202f478c6,
Edificio Lift,11240.0,"Av. Vitacura 5670, Estadio Manquehue, Vitacura",2.5,2.5,,102.5,https://portalinmobiliario.com/MLC-1379757895-edificio-lift-_JM#polycard_client=search-nordic&search_layout=grid&position=9&type=item&tracking_id=24f4cbc3-c8ae-4ae8-ab79-c53202f478c6,
Moller Edificio Partenón 1770,13695.0,"Partenón 1770, Estadio Croata, Vitacura",2.0,2.0,,90.0,https://portalinmobiliario.com/MLC-1378038523-moller-edificio-partenon-1770-_JM#polycard_client=search-nordic&search_layout=grid&position=10&type=item&tracking_id=24f4cbc3-c8ae-4ae8-ab79-c53202f478c6,
Pórtico Tabancura,13780.0,"Las Hualtatas 10365, Tabancura, Vitacura",3.5,3.0,,131.5,https://portalinmobiliario.com/MLC-1560725570-portico-tabancura-_JM#polycard_client=search-nordic&search_layout=grid&position=11&type=item&tracking_id=24f4cbc3-c8ae-4ae8-ab79-c53202f478c6,
Meet 10800,8408.0,"Av. Las Condes 10800, Vitacura, Las Condes, Tabancura, Vitacura",2.0,2.0,,73.0,https://portalinmobiliario.com/MLC-1709484471-meet-10800-_JM#polycard_client=search-nordic&search_layout=grid&position=12&type=item&tracking_id=24f4cbc3-c8ae-4ae8-ab79-c53202f478c6,
Plaza Costanera,8680.0,"Avenida Nueva Costanera 3480, Parque Bicentenario, Vitacura",2.0,2.0,,97.0,https://portalinmobiliario.com/MLC-1572707877-plaza-costanera-_JM#polycard_client=search-nordic&search_layout=grid&position=13&type=item&tracking_id=24f4cbc3-c8ae-4ae8-ab79-c53202f478c6,
Moller Lo Gallo 1820,9849.0,"Lo Gallo 1820, Estadio Croata, Vitacura",2.5,2.5,,103.0,https://portalinmobiliario.com/MLC-1482039985-moller-lo-gallo-1820-_JM#polycard_client=search-nordic&search_layout=grid&position=14&type=item&tracking_id=24f4cbc3-c8ae-4ae8-ab79-c53202f478c6,
