model,set,mse,rmse,mae,r2,mape
Linear Regression,train,1800674.9142181927,1341.892288605234,893.7369922570356,0.5844115334378157,22.782869797090022
Linear Regression,validation,136721.78306719675,369.75908787641276,334.1127454311226,-0.33618187494998475,12.048316736420693
Linear Regression,test,1712646.9424549162,1308.6813754519915,900.2355128365941,0.7400546608727356,23.015246708910333
Lasso Regression,train,1800687.9509794328,1341.8971461998988,893.8502799737223,0.5844085246061993,22.79136115451363
Lasso Regression,validation,135883.0866105171,368.6232312409475,335.4221234745871,-0.32798529515955477,12.11195644609785
Lasso Regression,test,1717271.950220705,1310.447232902075,901.5150533178646,0.7393526777714077,23.064339273241718
Ridge Regression,train,1810573.4530760865,1345.575509986744,905.4936980625653,0.5821269908184477,23.40192097517423
Ridge Regression,validation,127531.91184835002,357.11610415710743,337.46641808758255,-0.24636927098685169,12.528494740028645
Ridge Regression,test,1785347.7707653828,1336.1690651880033,941.0066048974406,0.729020138227392,24.79709038864697
Random Forest,train,303709.4028199066,551.0983603857904,301.59020089285724,0.929905101691694,7.555703275127168
Random Forest,validation,878322.5365025064,937.1886344287933,750.9052291666667,-7.583845436377455,27.921439982702033
Random Forest,test,565268.8699067006,751.8436472476844,544.6368898809524,0.9142035614909867,16.18187357995667
XGBoost,train,4603.9274694453925,67.85224734262965,35.095237731933594,0.9989374322138425,1.1734114903051436
XGBoost,validation,1701706.8162902296,1304.4948510018082,950.6995239257812,-15.630779334470162,35.36607770310594
XGBoost,test,1197378.5253658146,1094.2479268272866,613.6078491210938,0.8182620368949078,14.97874030884016
